Toilet..,Depth,Lateral,Time,pH_P2.A,pH_P2.B,pH_P2.C,pH_P1.D,pH_P1.E,pH_P1.F,pH_M,pH_Lined,pH_Unlined,NH4_P2.A,NH4_P2.B,NH4_P2.C,NH4_P1.D,NH4_P1.E,NH4_P1.F,NH4_M,NH4_Lined,NH4_Unlined,NO3_P2.A,NO3_P2.B,NO3_P2.C,NO3_P1.D,NO3_P1.E,NO3_P1.F,NO3_M,NO3_Lined,NO3_Unlined,EC_P2.A,EC_P2.B,EC_P2.C,EC_P1.D,EC_P1.E,EC_P1.F,EC_M,EC_Lined,EC_Unlined,P_P2.A,P_P2.B,P_P2.C,P_P1.D,P_P1.E,P_P1.F,P_M,P_Lined,P_Unlined,TC_P2.A,TC_P2.B,TC_P2.C,TC_P1.D,TC_P1.E,TC_P1.F,TC_M,TC_Lined,TC_Unlined
1,1,1,0,7.62,7.62,7.62,7.62,7.62,7.62,NA,7.62,7.62,0.94,0.94,0.94,0.94,0.94,0.94,NA,0.94,0.94,28,28,28,28,28,28,NA,28,28,790,790,790,790,790,790,NA,790,790,0.56,0.56,0.56,0.56,0.56,0.56,NA,0.56,0.56,0,0,0,0,0,0,NA,0,0
1,1,5,0,7.74,7.74,7.74,7.74,7.74,7.74,NA,7.74,7.74,0.4,0.4,0.4,0.4,0.4,0.4,NA,0.4,0.4,28.5,28.5,28.5,28.5,28.5,28.5,NA,28.5,28.5,517,517,517,517,517,517,NA,517,517,0.62,0.62,0.62,0.62,0.62,0.62,NA,0.62,0.62,0,0,0,0,0,0,NA,0,0
1,1,10,0,7.92,7.92,7.92,7.92,7.92,7.92,NA,7.92,7.92,0.1,0.1,0.1,0.1,0.1,0.1,NA,0.1,0.1,33.5,33.5,33.5,33.5,33.5,33.5,NA,33.5,33.5,1168,1168,1168,1168,1168,1168,NA,1168,1168,0.3,0.3,0.3,0.3,0.3,0.3,NA,0.3,0.3,0,0,0,0,0,0,NA,0,0
1,1.5,1,0,7.65,7.65,7.65,7.65,7.65,7.65,NA,7.65,7.65,0.1,0.1,0.1,0.1,0.1,0.1,NA,0.1,0.1,30.5,30.5,30.5,30.5,30.5,30.5,NA,30.5,30.5,619,619,619,619,619,619,NA,619,619,0.34,0.34,0.34,0.34,0.34,0.34,NA,0.34,0.34,0,0,0,0,0,0,NA,0,0
1,1.5,5,0,7.65,7.65,7.65,7.65,7.65,7.65,NA,7.65,7.65,0.16,0.16,0.16,0.16,0.16,0.16,NA,0.16,0.16,30.5,30.5,30.5,30.5,30.5,30.5,NA,30.5,30.5,630,630,630,630,630,630,NA,630,630,0.76,0.76,0.76,0.76,0.76,0.76,NA,0.76,0.76,0,0,0,0,0,0,NA,0,0
1,1.5,10,0,8.06,8.06,8.06,8.06,8.06,8.06,NA,8.06,8.06,0.18,0.18,0.18,0.18,0.18,0.18,NA,0.18,0.18,26.5,26.5,26.5,26.5,26.5,26.5,NA,26.5,26.5,966,966,966,966,966,966,NA,966,966,0.46,0.46,0.46,0.46,0.46,0.46,NA,0.46,0.46,0,0,0,0,0,0,NA,0,0
1,1,1,18,7.75,7.75,7.75,NA,NA,NA,NA,7.75,NA,0.04,0.04,0.04,NA,NA,NA,NA,0.04,NA,18.2,18.2,18.2,NA,NA,NA,NA,18.2,NA,975,975,975,NA,NA,NA,NA,975,NA,0.57,0.57,0.57,NA,NA,NA,NA,0.57,NA,0,0,0,NA,NA,NA,NA,0,NA
1,1,5,18,7.84,7.84,7.84,NA,NA,NA,NA,7.84,NA,0.03,0.03,0.03,NA,NA,NA,NA,0.03,NA,17.5,17.5,17.5,NA,NA,NA,NA,17.5,NA,822,822,822,NA,NA,NA,NA,822,NA,0.37,0.37,0.37,NA,NA,NA,NA,0.37,NA,0,0,0,NA,NA,NA,NA,0,NA
1,1.5,1,18,8.01,8.01,8.01,NA,NA,NA,NA,8.01,NA,0.04,0.04,0.04,NA,NA,NA,NA,0.04,NA,14.9,14.9,14.9,NA,NA,NA,NA,14.9,NA,734,734,734,NA,NA,NA,NA,734,NA,0.6,0.6,0.6,NA,NA,NA,NA,0.6,NA,0,0,0,NA,NA,NA,NA,0,NA
1,1.5,5,18,8.04,8.04,8.04,NA,NA,NA,NA,8.04,NA,0.03,0.03,0.03,NA,NA,NA,NA,0.03,NA,14.8,14.8,14.8,NA,NA,NA,NA,14.8,NA,616,616,616,NA,NA,NA,NA,616,NA,0.43,0.43,0.43,NA,NA,NA,NA,0.43,NA,0,0,0,NA,NA,NA,NA,0,NA
