site,depth,lateral,time,test,location,values,num_test
1,1,1,0,pH,P2.A,7.62,TRUE
1,1,1,0,pH,P2.B,7.62,TRUE
1,1,1,0,pH,P2.C,7.62,TRUE
1,1,1,0,pH,P1.D,7.62,TRUE
1,1,1,0,pH,P1.E,7.62,TRUE
1,1,1,0,pH,P1.F,7.62,TRUE
1,1,1,0,pH,M,NA,TRUE
1,1,1,0,pH,Lined,7.62,TRUE
1,1,1,0,pH,Unlined,7.62,TRUE
1,1,1,0,NH4,P2.A,0.94,TRUE
1,1,1,0,NH4,P2.B,0.94,TRUE
1,1,1,0,NH4,P2.C,0.94,TRUE
1,1,1,0,NH4,P1.D,0.94,TRUE
1,1,1,0,NH4,P1.E,0.94,TRUE
1,1,1,0,NH4,P1.F,0.94,TRUE
1,1,1,0,NH4,M,NA,TRUE
1,1,1,0,NH4,Lined,0.94,TRUE
1,1,1,0,NH4,Unlined,0.94,TRUE
1,1,1,0,NO3,P2.A,28,TRUE
1,1,1,0,NO3,P2.B,28,TRUE
1,1,1,0,NO3,P2.C,28,TRUE
1,1,1,0,NO3,P1.D,28,TRUE
1,1,1,0,NO3,P1.E,28,TRUE
1,1,1,0,NO3,P1.F,28,TRUE
1,1,1,0,NO3,M,NA,TRUE
1,1,1,0,NO3,Lined,28,TRUE
1,1,1,0,NO3,Unlined,28,TRUE
1,1,1,0,EC,P2.A,790,TRUE
1,1,1,0,EC,P2.B,790,TRUE
1,1,1,0,EC,P2.C,790,TRUE
1,1,1,0,EC,P1.D,790,TRUE
1,1,1,0,EC,P1.E,790,TRUE
1,1,1,0,EC,P1.F,790,TRUE
1,1,1,0,EC,M,NA,TRUE
1,1,1,0,EC,Lined,790,TRUE
1,1,1,0,EC,Unlined,790,TRUE
1,1,1,0,P,P2.A,0.56,TRUE
1,1,1,0,P,P2.B,0.56,TRUE
1,1,1,0,P,P2.C,0.56,TRUE
1,1,1,0,P,P1.D,0.56,TRUE
1,1,1,0,P,P1.E,0.56,TRUE
1,1,1,0,P,P1.F,0.56,TRUE
1,1,1,0,P,M,NA,TRUE
1,1,1,0,P,Lined,0.56,TRUE
1,1,1,0,P,Unlined,0.56,TRUE
1,1,1,0,TC,P2.A,0,TRUE
1,1,1,0,TC,P2.B,0,TRUE
1,1,1,0,TC,P2.C,0,TRUE
1,1,1,0,TC,P1.D,0,TRUE
1,1,1,0,TC,P1.E,0,TRUE
1,1,1,0,TC,P1.F,0,TRUE
1,1,1,0,TC,M,NA,TRUE
1,1,1,0,TC,Lined,0,TRUE
1,1,1,0,TC,Unlined,0,TRUE
1,1,5,0,pH,P2.A,7.74,TRUE
1,1,5,0,pH,P2.B,7.74,TRUE
1,1,5,0,pH,P2.C,7.74,TRUE
1,1,5,0,pH,P1.D,7.74,TRUE
1,1,5,0,pH,P1.E,7.74,TRUE
1,1,5,0,pH,P1.F,7.74,TRUE
1,1,5,0,pH,M,NA,TRUE
1,1,5,0,pH,Lined,7.74,TRUE
1,1,5,0,pH,Unlined,7.74,TRUE
1,1,5,0,NH4,P2.A,0.4,TRUE
1,1,5,0,NH4,P2.B,0.4,TRUE
1,1,5,0,NH4,P2.C,0.4,TRUE
